company_id,SIC_CD_3,final_score,decision,score_cf_alignment,reason_cf_alignment,score_actionability,reason_actionability,score_business_insight,reason_business_insight,score_logic_flow,reason_logic_flow,score_completeness,reason_completeness,score_clarity,reason_clarity,cf_alignment_match_rate,cf_alignment_n_matched,cf_alignment_n_ground_truth
9,L68,3.05,Reject,2,Just 6/20 ground-truth CF values (30%) matched; most figures are missing or incorrect.,3,"The proposal outlines specific improvement targets and action items, but lacks defined responsible parties and deadlines, making it somewhat abstract and less actionable for immediate implementation.",4,"The report provides a comprehensive analysis of the company's financial status, identifies critical areas for improvement, and outlines actionable steps, particularly in cash flow management and operational efficiency, which are essential for survival in the real estate sector.",3,"The report presents a coherent structure and identifies key areas for improvement, but the drastic percentage changes in financial metrics raise concerns about the validity of the data and the causal reasoning behind the proposed actions, particularly in addressing cash flow issues.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Current Status Analysis, although the Improvement Scenarios and Action Roadmap could benefit from more detailed strategies and timelines.",3,"While the report presents important financial metrics and targets, it uses excessive jargon (e.g., 'Proximity of 0.2033' and 'liquidity issues') and lacks clear explanations for non-financial readers, which may hinder understanding for executive readers.",0.3,6,20
70,G47,3.7,Pass,4,18/20 ground-truth CF values (90%) matched; minor narrative paraphrase acceptable per rubric.,3,"The proposal outlines specific actions and improvement scenarios, but lacks clear responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights into the company's financial improvements and actionable steps, such as enhancing gross profit margins and managing SG&A expenses, which are crucial for the firm's survival in the retail sector.",4,"The report presents a logical flow with clear causal relationships, particularly in how the improvements in financial metrics are linked to the reduction in bankruptcy probability, although some numerical claims may lack context for full clarity.",4,"The report includes all 6 required sections with substantial content; however, the 'Current Status Analysis' could benefit from a deeper exploration of the implications of the high bankruptcy probability.",3,"The report contains some clear metrics and actionable insights, but it uses excessive jargon (e.g., 'Proximity', 'Sparsity') and complex percentage increases that may confuse executive readers who prefer straightforward language and context.",0.9,18,20
75,G46,3.7,Pass,4,15/20 ground-truth CF values (75%) matched; minor narrative paraphrase acceptable per rubric.,3,"The proposal outlines specific financial targets and improvement scenarios, but lacks clearly defined responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights into the company's financial health and outlines actionable steps for improvement, such as focusing on inventory management and cost control, which are critical for survival in the wholesale trade sector.",4,"The report presents a logically coherent flow of information, with clear causal relationships between the company's financial strategies and their intended outcomes, such as the link between increased borrowings and improved liquidity, although some numerical claims could benefit from clearer contextualization.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Improvement Scenarios, but could benefit from more detailed quantitative analysis in the Current Status Analysis and Action Roadmap sections.",3,"The report contains clear sections and actionable insights, but it uses excessive numerical jargon and percentages (e.g., '361.4% increase') that may confuse executive readers unfamiliar with financial metrics, making it less accessible.",0.75,15,20
1270,G47,3.45,Conditional Pass,3,Only 10/20 ground-truth CF values (50%) matched; at least one key figure appears miscalculated or omitted.,3,"While the report outlines specific financial targets and improvement scenarios, it lacks detailed responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and less actionable for immediate execution.",4,"The report provides a comprehensive strategic framework with specific financial targets and actionable steps, such as enhancing Non-Operating Income and managing Accounts Receivable, which are critical for the retail sector's survival, although it could benefit from more detailed implementation strategies.",4,"The report presents a logically coherent flow, with clear causal relationships between the proposed financial improvements and the targeted reduction in bankruptcy probability, although the extreme percentage increases may raise questions about feasibility.",4,"The report includes all 6 required sections with sufficient substance; however, the 'Current Status Analysis' could benefit from more detailed financial metrics and context to enhance clarity.",3,"The report contains clear numerical data and targets, but excessive jargon such as 'Sparsity' and vague expressions like 'minor financial adjustments' may hinder understanding for executive readers unfamiliar with technical terms.",0.5,10,20
1273,G47,2.85,Reject,2,Just 5/20 ground-truth CF values (25%) matched; most figures are missing or incorrect.,3,"The proposal outlines specific short-term and medium-term actions, such as conducting a review of operational costs and securing funding, but lacks clearly defined responsible parties and deadlines, making it somewhat abstract and less actionable.",3,"The report provides a mix of numerical data and strategic recommendations, such as focusing on asset expansion and operational efficiency, but it lacks depth in analyzing the underlying causes of financial decline and does not fully align with the complexities of the retail sector's current market conditions.",3,"The report presents a logical flow in identifying the company's financial challenges and proposing improvement scenarios; however, the drastic percentage changes and the implications of a 100% decrease in key areas like Investment Assets and Borrowings raise concerns about the feasibility of the proposed strategies, suggesting a need for more realistic assessments.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Current Status Analysis and Improvement Scenarios, but could benefit from more detailed metrics in the Action Roadmap and Performance KPIs to enhance clarity and actionable insights.",3,"The report contains clear sections and actionable insights, but it uses excessive jargon and complex financial metrics (e.g., '356.6% decrease in Reserve Ratio') that may not be easily understood by all executive readers.",0.25,5,20
1544,G47,3.6,Pass,3,Only 10/20 ground-truth CF values (50%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines specific targets and actions, but lacks clear responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights into the company's financial improvements and actionable steps for maintaining stability, particularly in the context of the retail trade sector, but could benefit from deeper analysis of market conditions and competitive positioning.",4,"The report presents a coherent flow of information, logically connecting improvements in financial metrics to actionable strategies, although the reliance on numerical increases without context may lead to potential misinterpretations of overall financial health.",5,"The report includes all 6 required sections, each with sufficient substance, providing a comprehensive overview of the company's financial status, improvement scenarios, action plans, risk management, and performance KPIs, which are clearly articulated and actionable.",4,"The report is largely clear and accessible, with specific metrics and improvements outlined, though it could benefit from reducing jargon such as 'operational liquidity' and 'strategic borrowing' for broader executive understanding.",0.5,10,20
1691,G46,3.3,Conditional Pass,3,Only 14/20 ground-truth CF values (70%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines specific targets and actions for improvement, but lacks clear responsible parties, deadlines, and detailed methodologies, making it somewhat abstract and impractical for immediate execution.",4,"The report provides a comprehensive analysis of the company's financial challenges and outlines strategic actions for improvement, such as increasing tangible and non-current assets, which reflects a genuine understanding of the firm's sector and its need for operational scalability.",3,"The report presents a logical flow in identifying financial challenges and proposing improvement scenarios; however, the drastic percentage increases suggested for tangible and non-current assets may lack practical feasibility, indicating a potential disconnect between targets and realistic outcomes.",4,"The report includes all 6 required sections and provides substantial detail in each, particularly in the Current Status Analysis and Improvement Scenarios, though it could benefit from more quantitative metrics in the Action Roadmap.",3,"The report contains clear sections and structured information, but it uses excessive technical jargon and specific percentages that may not be easily understood by executive readers, such as 'sparsity of 0.3710' and 'tangible assets have increased to 0.0576% of total assets,' which could be simplified for better accessibility.",0.7,14,20
1913,G46,3.3,Conditional Pass,3,Only 10/20 ground-truth CF values (50%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines specific actions and targets, such as reducing accounts receivable and increasing gross profit margins, but lacks clearly defined responsible parties and deadlines, making it somewhat abstract and less actionable for immediate implementation.",4,"The report provides strategic insights into improving bankruptcy probability and profitability through actionable steps, while also addressing risks associated with increased borrowings, reflecting a comprehensive understanding of the wholesale trade sector's dynamics.",3,"The report presents a coherent flow of information and logical connections between the company's current status, improvement scenarios, and action roadmap; however, the increase in bankruptcy probability from 32.4% to 35.1% lacks clarity in its rationale, which undermines the overall causal reasoning.",4,"The report includes all 6 required sections with sufficient substance; however, the 'Current Status Analysis' could benefit from more detailed quantitative data to enhance clarity on financial performance.",3,"The report contains some clear information, but it uses excessive jargon and numerical values without sufficient context, which may hinder understanding for executive readers unfamiliar with financial metrics, such as the bankruptcy probability and quality score.",0.5,10,20
2252,G46,3.05,Reject,2,Just 9/20 ground-truth CF values (45%) matched; most figures are missing or incorrect.,3,"While the report outlines significant improvement targets and a general roadmap, it lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights by identifying specific improvement targets and actionable steps to enhance financial health, particularly in the wholesale trade sector, while also addressing risk management and performance KPIs.",3,"The report presents a logical flow in identifying financial issues and proposing improvement scenarios; however, the drastic percentage changes in key metrics lack clarity and may confuse causation, such as the contradictory statement about accounts payable decreasing by 100.0% while also discussing liquidity concerns.",4,"The report includes all six required sections with sufficient substance; however, the Current Status Analysis could benefit from clearer explanations of the financial metrics and their implications for a more comprehensive understanding.",3,"The report contains some clear information, but it includes excessive jargon and vague expressions, such as 'substantial number of variables' and 'robust risk management framework,' which may hinder understanding for executive readers.",0.45,9,20
2993,G46,3.7,Pass,4,16/20 ground-truth CF values (80%) matched; minor narrative paraphrase acceptable per rubric.,3,"The proposal outlines necessary actions and improvement targets but lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and less actionable.",4,"The report provides a comprehensive analysis of the company's financial distress with specific metrics and actionable strategies, demonstrating genuine strategic insight for survival in the wholesale trade sector, although it could benefit from more detailed market context.",4,"The report presents a logically structured analysis of the company's financial distress, clearly linking the need for restructuring to the significant declines in key financial metrics, and outlines a coherent action roadmap with specific improvement targets and risk management strategies.",4,"The report includes all 6 required sections with substantial content, particularly in the Executive Summary and Current Status Analysis, but could benefit from more detailed quantitative targets in the Improvement Scenarios and Action Roadmap sections.",3,"The report contains clear sections and structured information, but it uses excessive jargon and complex metrics (e.g., '66.9pp improvement' and 'high quality score of 0.83') that may not be easily understood by executive readers without a financial background.",0.8,16,20
